qPCR_name,new_name,plate
PrtDn_2_0422_10,422.1Prt.Dn.2,MB
PrtDn_2_0522_10,522.1Prt.Dn.2,MB
PrtDn_2_0622_100,622.1Prt.Dn.2,MB
PrtDn_3_0322_100,322.1Prt.Dn.3,MB
PrtDn_3_0422_10,422.1Prt.Dn.3,MB
PrtDn_3_0522_10,522.1Prt.Dn.3,MB
PrtDn_3_0622_100,622.1Prt.Dn.3,MB
PrtUp_1_0322_100,322.1Prt.Up.1,MB
PrtUp_1_0422_10,422.1Prt.Up.1,MB
PrtUp_1_0522_10,522.1Prt.Up.1,MB
PrtUp_1_0622_100,622.1Prt.Up.1,MB
PrtUp_2_0322_100,322.1Prt.Up.2,MB
PrtUp_2_0422_10,422.1Prt.Up.2,MB
PrtUp_2_0522_10,522.1Prt.Up.2,MB
PrtUp_2_0622_100,622.1Prt.Up.2,MB
PrtUp_3_0322_100,322.1Prt.Up.3,MB
PrtUp_3_0422_10,422.1Prt.Up.3,MB
PrtUp_3_0522_10,522.1Prt.Up.3,MB
PrtUp_3_0622_100,622.1Prt.Up.3,MB
SqmDn_1_0322_TR1_10,322.5Sqm.Dn.1,MB
SqmDn_1_0322_TR2_10,322.5Sqm.Dn.1,MB
SqmDn_1_0422_10,422.5Sqm.Dn.1,MB
SqmDn_1_0522_10,522.5Sqm.Dn.1,MB
SqmDn_1_0622_10,622.5Sqm.Dn.1,MB
SqmDn_2_0322_10,322.5Sqm.Dn.2,MB
SqmDn_2_0422_10,422.5Sqm.Dn.2,MB
SqmDn_2_0522_10,522.5Sqm.Dn.2,MB
SqmDn_2_0622_10,622.5Sqm.Dn.2,MB
SqmDn_3_0322_10,322.5Sqm.Dn.3,MB
SqmDn_3_0422_10,422.5Sqm.Dn.3,MB
SqmDn_3_0522_10,522.5Sqm.Dn.3,MB
SqmDn_3_0622_10,622.5Sqm.Dn.3,MB
SqmDn.1_0322_TR3_10,322.5Sqm.Dn.1,MB
SqmUp_1_0322_10,322.5Sqm.Up.1,MB
SqmUp_1_0422_10,422.5Sqm.Up.1,MB
