"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_samp[29,1]",0.999996070459258,1.74676876774521e-07,9.68908221162081e-06,0.999968079280055,0.999996973593435,0.999999616304648,0.999999977382977,0.999999999960127,3076.76584289943,1.0001876628037
"mu_samp[29,2]",4.97916589484621e-07,6.19018844727095e-08,3.18297968097911e-06,9.92179215227771e-16,3.29332019372929e-12,2.71375622526538e-10,1.49108380158377e-08,5.01173616873821e-06,2643.99111679774,1.00030166404797
"mu_samp[29,3]",2.85360035731109e-06,1.53607945348137e-07,8.20700556023162e-06,1.78290937865341e-12,4.55631373846122e-09,1.20841604114349e-07,1.62911542967587e-06,2.44613409772621e-05,2854.579187916,1.00079686420602
"mu_samp[29,4]",5.78023795320754e-07,4.48498112249941e-08,2.53915026679841e-06,1.6146414530722e-12,4.88129033659158e-10,7.65064335645385e-09,1.15996334204249e-07,5.28532446398247e-06,3205.20319874735,0.99938165788394
"mu_samp[30,1]",0.999915024829627,4.53491695879628e-06,0.000241140345416369,0.999194596877154,0.999960268400802,0.99999699497068,0.999999887147395,0.99999999986145,2827.49001274989,0.99982174594296
"mu_samp[30,2]",9.64325212860518e-06,1.50295203941303e-06,7.94847158095571e-05,3.56979774451719e-15,1.1296810021e-11,1.07560140782470e-09,8.11709505784375e-08,6.69834040475056e-05,2796.90044116651,0.999316077983288
"mu_samp[30,3]",6.8601808714468e-05,4.17329103258815e-06,0.00021803291839451,1.4102639459831e-11,2.0956442864066e-08,1.26015887407145e-06,2.60575684542611e-05,0.000673760951298772,2729.52320956708,1.00038466938895
"mu_samp[30,4]",6.73010953031188e-06,8.95682421982886e-07,4.40948015345615e-05,4.97448840679515e-12,1.79431776008619e-09,3.37162315899359e-08,4.75184092205488e-07,6.29972354695268e-05,2423.63202334152,1.00024444227562
"mu_samp[31,1]",0.99995536711742,3.0360051656418e-07,2.10757207489945e-05,0.99990543122235,0.999943862827266,0.999958434804363,0.999970382911081,0.999986205071475,4819.03254014311,0.999593791683072
"mu_samp[31,2]",3.44267574925796e-08,1.63521192895231e-09,6.88254239126472e-08,6.38421318626026e-10,4.81753971230058e-09,1.30228548162925e-08,3.41632790845602e-08,2.06045510694987e-07,1771.53483524709,0.999802869991106
"mu_samp[31,3]",4.41799739097724e-05,3.00703685261367e-07,2.09749813317373e-05,1.3546878923391e-05,2.91124269019959e-05,4.10817433820757e-05,5.56738448664145e-05,9.35566739648238e-05,4865.47969779023,0.99958943513543
"mu_samp[31,4]",4.18481913204961e-07,1.27641013963424e-08,3.9803896461955e-07,5.3929792966172e-08,1.67287940393575e-07,2.95343496209803e-07,5.29620533958897e-07,1.4836324837441e-06,972.457622260292,1.00092144839794
"mu_samp[32,1]",0.985535565006829,7.11744654598628e-06,0.000394209799117234,0.984769502936352,0.985266160440922,0.985535570448153,0.985795154611678,0.986321540082033,3067.65420364074,0.999863485847432
